Key type,Value type,Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
m,m,100000,AceHash;2.5;1;1;1;1;0,1,6748224,0.00568299,0.00061465,0.000533731
m,m,100000,AceHash;2.5;1;1;1;1;0,2,6748224,0.00567786,0.000614989,0.000506102
m,m,100000,AceHash;2.5;1;1;1;1;0,3,6748224,0.00565593,0.000615461,0.000526909
m,m,100000,AceHash;2.5;1;1;1;1;0,4,6748224,0.00567292,0.000614862,0.000543794
m,m,100000,std::unordered_map,0,0,0.00690909,0.00231371,0.000722656
m,m,100000,std::unordered_map,1,0,0.00632035,0.00225101,0.000744316
m,m,100000,std::unordered_map,2,0,0.00637154,0.00224238,0.00074244
m,m,100000,std::unordered_map,3,0,0.00624879,0.00224437,0.000716413
m,m,100000,std::unordered_map,4,0,0.00634334,0.00223887,0.000695673
m,m,100000,absl::flat_hash_map,0,0,0.00164959,0.000786022,0.000498993
m,m,100000,absl::flat_hash_map,1,0,0.00174023,0.000789376,0.000504746
m,m,100000,absl::flat_hash_map,2,0,0.00175553,0.000781039,0.000531318
m,m,100000,absl::flat_hash_map,3,0,0.00174735,0.000780972,0.000492223
m,m,100000,absl::flat_hash_map,4,0,0.00177903,0.000781822,0.000498012
m,m,100000,VectorMap;0.6,0,21333376,0.00554105,0.0015912,0.000599344
m,m,100000,VectorMap;0.6,1,21333376,0.0053176,0.00159255,0.000601923
m,m,100000,VectorMap;0.6,2,21333376,0.00530405,0.00159319,0.000587211
m,m,100000,VectorMap;0.6,3,21333376,0.00530144,0.00160713,0.000607605
m,m,100000,VectorMap;0.6,4,21333376,0.0053021,0.00159793,0.00059246
m,m,100000,VectorMap;0.7,0,18285824,0.00529003,0.00182337,0.000637802
m,m,100000,VectorMap;0.7,1,18285824,0.0052896,0.00181646,0.00063119
m,m,100000,VectorMap;0.7,2,18285824,0.00537272,0.00181099,0.000622618
m,m,100000,VectorMap;0.7,3,18285824,0.00538841,0.00181829,0.000622204
m,m,100000,VectorMap;0.7,4,18285824,0.00529178,0.001798,0.000626442
m,m,100000,VectorMap;0.8,0,16000000,0.0053011,0.00199082,0.000657644
m,m,100000,VectorMap;0.8,1,16000000,0.00529938,0.00197675,0.000664078
m,m,100000,VectorMap;0.8,2,16000000,0.00530875,0.00198931,0.000655752
m,m,100000,VectorMap;0.8,3,16000000,0.0052942,0.00197823,0.000647819
m,m,100000,VectorMap;0.8,4,16000000,0.00530505,0.00198955,0.000668682
m,m,100000,BBHash;2;0,0,6774976,0.0448249,0.00952946,0.00159881
m,m,100000,BBHash;2;0,1,6774976,0.0464708,0.00969372,0.00161699
m,m,100000,BBHash;2;0,2,6774976,0.0459924,0.00937521,0.00157626
m,m,100000,BBHash;2;0,3,6774976,0.0473395,0.00987446,0.0014735
m,m,100000,BBHash;2;0,4,6774976,0.0483098,0.00983324,0.00148839
m,m,100000,BBHash;5;0,0,7091520,0.0324198,0.00814255,0.00147479
m,m,100000,BBHash;5;0,1,7091520,0.0306972,0.00797512,0.00148429
m,m,100000,BBHash;5;0,2,7091520,0.031085,0.0076327,0.00138109
m,m,100000,BBHash;5;0,3,7091520,0.0314018,0.00852957,0.0014849
m,m,100000,BBHash;5;0,4,7091520,0.0309208,0.00784341,0.00150629
m,m,100000,PTHash;5;0.8;dictionary-dictionary;0,0,8215168,0.0241938,0.00212259,0.000918977
m,m,100000,PTHash;5;0.8;dictionary-dictionary;0,1,8215040,0.0213831,0.00201854,0.000896214
m,m,100000,PTHash;5;0.8;dictionary-dictionary;0,2,8214976,0.021088,0.00200953,0.000845501
m,m,100000,PTHash;5;0.8;dictionary-dictionary;0,3,8236224,0.0206175,0.00199477,0.000870564
m,m,100000,PTHash;5;0.8;dictionary-dictionary;0,4,8215104,0.0207898,0.00199821,0.000847539
m,m,100000,PTHash;8;0.98;dictionary-dictionary;1,0,6923136,0.0215414,0.00198692,0.000880148
m,m,100000,PTHash;8;0.98;dictionary-dictionary;1,1,6923072,0.0214825,0.00198961,0.000880543
m,m,100000,PTHash;8;0.98;dictionary-dictionary;1,2,6922880,0.0214389,0.00198627,0.000868824
m,m,100000,PTHash;8;0.98;dictionary-dictionary;1,3,6923072,0.0215278,0.00198299,0.000876741
m,m,100000,PTHash;8;0.98;dictionary-dictionary;1,4,6923072,0.021688,0.00198256,0.000899329
m,h,200000,AceHash;4;0.8;1;1;1;0,0,2401120,0.00934137,0.00107501,0.000686969
m,h,200000,AceHash;4;0.8;1;1;1;0,1,2401120,0.00955112,0.0010738,0.000652856
m,h,200000,AceHash;4;0.8;1;1;1;0,2,2401120,0.00954429,0.00107479,0.000649109
m,h,200000,AceHash;4;0.8;1;1;1;0,3,2401120,0.00954617,0.00108072,0.000637919
m,h,200000,AceHash;4;0.8;1;1;1;0,4,2401120,0.0095364,0.00108048,0.000651136
m,h,200000,AceHash;2.5;1;1;1;1;0,0,2293896,0.0109458,0.00111502,0.000656641
m,h,200000,AceHash;2.5;1;1;1;1;0,1,2293896,0.0109302,0.00111105,0.000646524
m,h,200000,AceHash;2.5;1;1;1;1;0,2,2293896,0.0109347,0.00111031,0.000680046
m,h,200000,AceHash;2.5;1;1;1;1;0,3,2293896,0.0109261,0.00111282,0.000692194
m,h,200000,AceHash;2.5;1;1;1;1;0,4,2293896,0.0109335,0.00111745,0.000661754
m,h,200000,std::unordered_map,0,0,0.0130305,0.004774,0.00123093
m,h,200000,std::unordered_map,1,0,0.0124442,0.0048326,0.00120587
m,h,200000,std::unordered_map,2,0,0.0126612,0.00474413,0.00121422
m,h,200000,std::unordered_map,3,0,0.0125404,0.0047456,0.00122695
m,h,200000,std::unordered_map,4,0,0.0125129,0.00474176,0.00122345
m,h,200000,absl::flat_hash_map,0,0,0.00286187,0.00191107,0.000807402
m,h,200000,absl::flat_hash_map,1,0,0.00344891,0.00190095,0.000851016
m,h,200000,absl::flat_hash_map,2,0,0.0034618,0.00190823,0.000806397
m,h,200000,absl::flat_hash_map,3,0,0.00352277,0.00190169,0.000819649
m,h,200000,absl::flat_hash_map,4,0,0.00348655,0.00194328,0.000819875
m,h,200000,VectorMap;0.6,0,42666752,0.016596,0.00343223,0.00101251
m,h,200000,VectorMap;0.6,1,42666752,0.0133907,0.00329077,0.000973322
m,h,200000,VectorMap;0.6,2,42666752,0.0110205,0.00329071,0.000954138
m,h,200000,VectorMap;0.6,3,42666752,0.0110311,0.00330613,0.000988034
m,h,200000,VectorMap;0.6,4,42666752,0.0110169,0.00330498,0.00101132
m,h,200000,VectorMap;0.7,0,36571520,0.0127939,0.0038077,0.00105067
m,h,200000,VectorMap;0.7,1,36571520,0.0111265,0.0037449,0.00107418
m,h,200000,VectorMap;0.7,2,36571520,0.0110406,0.0037809,0.00107341
m,h,200000,VectorMap;0.7,3,36571520,0.0110949,0.00376581,0.0010594
m,h,200000,VectorMap;0.7,4,36571520,0.0110332,0.00378618,0.00106094
m,h,200000,VectorMap;0.8,0,32000000,0.0111185,0.00424501,0.00109978
m,h,200000,VectorMap;0.8,1,32000000,0.0111023,0.00422133,0.00110088
m,h,200000,VectorMap;0.8,2,32000000,0.0111032,0.00423424,0.0010915
m,h,200000,VectorMap;0.8,3,32000000,0.0111057,0.00425365,0.00113233
m,h,200000,VectorMap;0.8,4,32000000,0.011116,0.00425106,0.00113129
m,h,200000,BBHash;2;0,0,2346112,0.0821033,0.01235,0.00270528
m,h,200000,BBHash;2;0,1,2346112,0.0832859,0.012611,0.00275723
m,h,200000,BBHash;2;0,2,2346112,0.0829478,0.0124982,0.00262924
m,h,200000,BBHash;2;0,3,2346112,0.0700437,0.0127456,0.00269565
m,h,200000,BBHash;2;0,4,2346112,0.0841055,0.0129005,0.00270451
m,h,200000,BBHash;5;0,0,2978560,0.0553633,0.0112894,0.00236264
m,h,200000,BBHash;5;0,1,2978560,0.0576775,0.0114335,0.0023933
m,h,200000,BBHash;5;0,2,2978560,0.0547706,0.0110333,0.00242378
m,h,200000,BBHash;5;0,3,2978560,0.0545293,0.0105242,0.00243511
m,h,200000,BBHash;5;0,4,2978560,0.0589775,0.0116671,0.0022474
m,h,200000,PTHash;5;0.8;dictionary-dictionary;0,0,2442112,0.044388,0.00373659,0.00134036
