Trial,Alpha,Algorithm,Time (s)
2,0.86,Conventional,0.145935
2,0.86,AceHash,0.0826036
3,0.86,Conventional,0.146115
3,0.86,AceHash,0.0826074
4,0.86,Conventional,0.14596
4,0.86,AceHash,0.083022
0,0.87,Conventional,0.149396
0,0.87,AceHash,0.0825878
1,0.87,Conventional,0.14934
1,0.87,AceHash,0.0825776
2,0.87,Conventional,0.149587
2,0.87,AceHash,0.0826724
3,0.87,Conventional,0.149392
3,0.87,AceHash,0.0837465
4,0.87,Conventional,0.149595
4,0.87,AceHash,0.0828314
0,0.88,Conventional,0.15373
0,0.88,AceHash,0.0825584
1,0.88,Conventional,0.153548
1,0.88,AceHash,0.0825075
2,0.88,Conventional,0.153425
2,0.88,AceHash,0.0828517
3,0.88,Conventional,0.153947
3,0.88,AceHash,0.082844
4,0.88,Conventional,0.154311
4,0.88,AceHash,0.0825769
0,0.89,Conventional,0.157231
0,0.89,AceHash,0.0824106
1,0.89,Conventional,0.15709
1,0.89,AceHash,0.0824222
2,0.89,Conventional,0.157593
2,0.89,AceHash,0.0824611
3,0.89,Conventional,0.15725
3,0.89,AceHash,0.0824707
4,0.89,Conventional,0.157516
4,0.89,AceHash,0.0825051
0,0.9,Conventional,0.161788
0,0.9,AceHash,0.0823922
1,0.9,Conventional,0.161637
1,0.9,AceHash,0.0824099
2,0.9,Conventional,0.161447
2,0.9,AceHash,0.082542
3,0.9,Conventional,0.161455
3,0.9,AceHash,0.0824703
4,0.9,Conventional,0.161525
4,0.9,AceHash,0.0824125
0,0.91,Conventional,0.166125
0,0.91,AceHash,0.0823834
1,0.91,Conventional,0.166188
1,0.91,AceHash,0.0825246
2,0.91,Conventional,0.166195
2,0.91,AceHash,0.0823531
3,0.91,Conventional,0.166602
3,0.91,AceHash,0.0823698
4,0.91,Conventional,0.166322
4,0.91,AceHash,0.0823571
0,0.92,Conventional,0.171836
0,0.92,AceHash,0.0823452
1,0.92,Conventional,0.171628
1,0.92,AceHash,0.0823205
2,0.92,Conventional,0.171627
2,0.92,AceHash,0.0824435
3,0.92,Conventional,0.171687
3,0.92,AceHash,0.0823699
4,0.92,Conventional,0.17169
4,0.92,AceHash,0.082289
0,0.93,Conventional,0.177636
0,0.93,AceHash,0.0825753
1,0.93,Conventional,0.177685
1,0.93,AceHash,0.0822656
2,0.93,Conventional,0.177716
2,0.93,AceHash,0.0824699
3,0.93,Conventional,0.177831
3,0.93,AceHash,0.0823456
4,0.93,Conventional,0.177599
4,0.93,AceHash,0.0822734
0,0.94,Conventional,0.185056
0,0.94,AceHash,0.082356
1,0.94,Conventional,0.184715
1,0.94,AceHash,0.0822355
2,0.94,Conventional,0.184657
2,0.94,AceHash,0.0823642
3,0.94,Conventional,0.185257
3,0.94,AceHash,0.0826365
4,0.94,Conventional,0.18485
4,0.94,AceHash,0.0823356
0,0.95,Conventional,0.193424
0,0.95,AceHash,0.0823684
1,0.95,Conventional,0.193774
1,0.95,AceHash,0.0824237
2,0.95,Conventional,0.193768
2,0.95,AceHash,0.0823535
3,0.95,Conventional,0.193764
3,0.95,AceHash,0.0823159
4,0.95,Conventional,0.193458
4,0.95,AceHash,0.0823791
0,0.96,Conventional,0.205708
0,0.96,AceHash,0.0824695
1,0.96,Conventional,0.205452
1,0.96,AceHash,0.0826083
2,0.96,Conventional,0.205489
2,0.96,AceHash,0.0834931
3,0.96,Conventional,0.206443
3,0.96,AceHash,0.0825971
4,0.96,Conventional,0.205706
4,0.96,AceHash,0.0825424
0,0.97,Conventional,0.223056
0,0.97,AceHash,0.0832686
1,0.97,Conventional,0.22452
1,0.97,AceHash,0.0845791
2,0.97,Conventional,0.223825
2,0.97,AceHash,0.0827884
3,0.97,Conventional,0.222532
3,0.97,AceHash,0.0828611
4,0.97,Conventional,0.222852
4,0.97,AceHash,0.0826964
0,0.98,Conventional,0.254474
0,0.98,AceHash,0.0830595
1,0.98,Conventional,0.254
1,0.98,AceHash,0.0830442
2,0.98,Conventional,0.253984
2,0.98,AceHash,0.0831804
3,0.98,Conventional,0.253333
3,0.98,AceHash,0.0830675
4,0.98,Conventional,0.253691
4,0.98,AceHash,0.0830691
0,0.99,Conventional,0.336271
0,0.99,AceHash,0.0836653
1,0.99,Conventional,0.335685
1,0.99,AceHash,0.0836169
2,0.99,Conventional,0.335771
2,0.99,AceHash,0.0839595
3,0.99,Conventional,0.335873
3,0.99,AceHash,0.0838484
4,0.99,Conventional,0.335632
4,0.99,AceHash,0.0836502
