Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;1.5;0.8;1;0;0;0,3,53333336,1.1474,0.106573,0.0111624
10000000,AceHash;1.5;0.8;1;0;0;0,4,53333336,1.15,0.106639,0.0111822
10000000,AceHash;1.5;0.8;1;1;0;0,0,53333336,0.726231,0.119999,0.0125741
10000000,AceHash;1.5;0.8;1;1;0;0,1,53333336,0.726318,0.120303,0.0125797
10000000,AceHash;1.5;0.8;1;1;0;0,2,53333336,0.726743,0.120664,0.0125837
10000000,AceHash;1.5;0.8;1;1;0;0,3,53333336,0.726992,0.120162,0.0125877
10000000,AceHash;1.5;0.8;1;1;0;0,4,53333336,0.72709,0.120243,0.0125473
10000000,AceHash;1.5;0.8;1;1;1;0,0,53333336,0.730154,0.0835441,0.00866309
10000000,AceHash;1.5;0.8;1;1;1;0,1,53333336,0.728164,0.0835293,0.0086611
10000000,AceHash;1.5;0.8;1;1;1;0,2,53333336,0.726549,0.0835161,0.00866409
10000000,AceHash;1.5;0.8;1;1;1;0,3,53333336,0.726493,0.0834782,0.00865749
10000000,AceHash;1.5;0.8;1;1;1;0,4,53333336,0.726847,0.0833493,0.00863911
10000000,AceHash;1.5;0.8;1;1;1;1,0,53333336,0.189048,0.0832052,0.00864297
10000000,AceHash;1.5;0.8;1;1;1;1,1,53333336,0.189076,0.0834604,0.00871769
10000000,AceHash;1.5;0.8;1;1;1;1,2,53333336,0.188339,0.082146,0.00860634
10000000,AceHash;1.5;0.8;1;1;1;1,3,53333336,0.190525,0.0843247,0.00863694
10000000,AceHash;1.5;0.8;1;1;1;1,4,53333336,0.188979,0.0831767,0.00870134
10000000,AceHash;1.5;0.85;0;0;0;0,0,53333336,3.78608,0.107284,0.0114094
10000000,AceHash;1.5;0.85;0;0;0;0,1,53333336,3.78258,0.106925,0.0114367
10000000,AceHash;1.5;0.85;0;0;0;0,2,53333336,3.78346,0.107579,0.0114433
