Experiment,Number of keys,Algorithm,Parameters,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
1,10000000,AceHash;1;1;1;0,2;0.9,2,40000112,0.710979,0.872885,0.0906884
1,10000000,AceHash;1;1;1;0,2;0.9,3,40000112,0.711001,0.863113,0.0906507
1,10000000,AceHash;1;1;1;0,2;0.9,4,40000112,0.710339,0.864823,0.090491
1,10000000,AceHash;1;1;1;0,2;0.95,0,40023584,0.734698,0.864409,0.0910881
1,10000000,AceHash;1;1;1;0,2;0.95,1,40023584,0.735192,0.862513,0.0904645
1,10000000,AceHash;1;1;1;0,2;0.95,2,40023584,0.736098,0.864879,0.0906988
1,10000000,AceHash;1;1;1;0,2;0.95,3,40023584,0.736557,0.862644,0.0907074
1,10000000,AceHash;1;1;1;0,2;0.95,4,40023584,0.736312,0.862591,0.0907079
1,10000000,AceHash;1;1;1;0,2;1,0,42243672,0.798514,0.893376,0.0931165
1,10000000,AceHash;1;1;1;0,2;1,1,42243672,0.799287,0.893036,0.0929726
1,10000000,AceHash;1;1;1;0,2;1,2,42243672,0.799669,0.902235,0.0929159
1,10000000,AceHash;1;1;1;0,2;1,3,42243672,0.79914,0.893836,0.0930757
1,10000000,AceHash;1;1;1;0,2;1,4,42243672,0.799701,0.895005,0.0928177
1,10000000,AceHash;1;1;1;0,2.5;0.7,0,32000000,0.658144,0.854196,0.0889914
1,10000000,AceHash;1;1;1;0,2.5;0.7,1,32000000,0.661358,0.854035,0.0888393
1,10000000,AceHash;1;1;1;0,2.5;0.7,2,32000000,0.660565,0.853387,0.0889729
1,10000000,AceHash;1;1;1;0,2.5;0.7,3,32000000,0.66046,0.852935,0.0889246
1,10000000,AceHash;1;1;1;0,2.5;0.7,4,32000000,0.661371,0.854366,0.0889152
1,10000000,AceHash;1;1;1;0,2.5;0.75,0,32000000,0.661382,0.854487,0.0888176
1,10000000,AceHash;1;1;1;0,2.5;0.75,1,32000000,0.664215,0.855451,0.0888524
1,10000000,AceHash;1;1;1;0,2.5;0.75,2,32000000,0.663091,0.854608,0.0889201
1,10000000,AceHash;1;1;1;0,2.5;0.75,3,32000000,0.663601,0.855884,0.0888692
1,10000000,AceHash;1;1;1;0,2.5;0.75,4,32000000,0.663293,0.864368,0.0888169
1,10000000,AceHash;1;1;1;0,2.5;0.8,0,32000000,0.66944,0.854368,0.0888376
1,10000000,AceHash;1;1;1;0,2.5;0.8,1,32000000,0.670538,0.85587,0.088903
1,10000000,AceHash;1;1;1;0,2.5;0.8,2,32000000,0.672596,0.854245,0.0888715
1,10000000,AceHash;1;1;1;0,2.5;0.8,3,32000000,0.670124,0.854168,0.0887345
1,10000000,AceHash;1;1;1;0,2.5;0.8,4,32000000,0.670376,0.854348,0.0888074
1,10000000,AceHash;1;1;1;0,2.5;0.85,0,32000432,0.681809,0.855043,0.0890023
1,10000000,AceHash;1;1;1;0,2.5;0.85,1,32000432,0.683535,0.854798,0.0891281
1,10000000,AceHash;1;1;1;0,2.5;0.85,2,32000432,0.684136,0.854133,0.0890016
1,10000000,AceHash;1;1;1;0,2.5;0.85,3,32000432,0.683557,0.854904,0.0889332
1,10000000,AceHash;1;1;1;0,2.5;0.85,4,32000432,0.684332,0.856226,0.0889731
1,10000000,AceHash;1;1;1;0,2.5;0.9,0,32008712,0.703875,0.854449,0.0889072
1,10000000,AceHash;1;1;1;0,2.5;0.9,1,32008712,0.705287,0.854727,0.0888593
1,10000000,AceHash;1;1;1;0,2.5;0.9,2,32008712,0.704723,0.853717,0.0889212
1,10000000,AceHash;1;1;1;0,2.5;0.9,3,32008712,0.70525,0.856777,0.0890457
1,10000000,AceHash;1;1;1;0,2.5;0.9,4,32008712,0.704674,0.854081,0.0890987
1,10000000,AceHash;1;1;1;0,2.5;0.95,0,32167368,0.739477,0.855634,0.0892068
1,10000000,AceHash;1;1;1;0,2.5;0.95,1,32167368,0.741285,0.86221,0.0891559
1,10000000,AceHash;1;1;1;0,2.5;0.95,2,32167368,0.743109,0.864238,0.0890561
1,10000000,AceHash;1;1;1;0,2.5;0.95,3,32167368,0.741686,0.857707,0.0889462
1,10000000,AceHash;1;1;1;0,2.5;0.95,4,32167368,0.741054,0.860906,0.0891327
1,10000000,AceHash;1;1;1;0,2.5;1,0,34732440,0.817294,0.891647,0.0913747
1,10000000,AceHash;1;1;1;0,2.5;1,1,34732440,0.818284,0.887222,0.0912357
1,10000000,AceHash;1;1;1;0,2.5;1,2,34732440,0.818503,0.888601,0.0913287
1,10000000,AceHash;1;1;1;0,2.5;1,3,34732440,0.818643,0.889612,0.0913451
1,10000000,AceHash;1;1;1;0,2.5;1,4,34732440,0.819255,0.888565,0.0912579
1,10000000,AceHash;1;1;1;0,3;0.7,0,26666672,0.642763,0.846214,0.0874244
1,10000000,AceHash;1;1;1;0,3;0.7,1,26666672,0.644383,0.848285,0.0880895
1,10000000,AceHash;1;1;1;0,3;0.7,2,26666672,0.644129,0.851823,0.0875582
1,10000000,AceHash;1;1;1;0,3;0.7,3,26666672,0.643629,0.848543,0.0875962
1,10000000,AceHash;1;1;1;0,3;0.7,4,26666672,0.643913,0.851199,0.0873371
1,10000000,AceHash;1;1;1;0,3;0.75,0,26666672,0.649761,0.848652,0.0874742
1,10000000,AceHash;1;1;1;0,3;0.75,1,26666672,0.650667,0.847121,0.0874463
1,10000000,AceHash;1;1;1;0,3;0.75,2,26666672,0.653319,0.852587,0.0874601
1,10000000,AceHash;1;1;1;0,3;0.75,3,26666672,0.65073,0.849217,0.0875158
1,10000000,AceHash;1;1;1;0,3;0.75,4,26666672,0.651192,0.848465,0.0879255
1,10000000,AceHash;1;1;1;0,3;0.8,0,26666672,0.661636,0.84607,0.0875424
1,10000000,AceHash;1;1;1;0,3;0.8,1,26666672,0.66309,0.8509,0.0874073
1,10000000,AceHash;1;1;1;0,3;0.8,2,26666672,0.662947,0.849731,0.0874576
1,10000000,AceHash;1;1;1;0,3;0.8,3,26666672,0.664305,0.852081,0.0874433
1,10000000,AceHash;1;1;1;0,3;0.8,4,26666672,0.664223,0.848953,0.087456
1,10000000,AceHash;1;1;1;0,3;0.85,0,26670344,0.682595,0.857193,0.0874573
1,10000000,AceHash;1;1;1;0,3;0.85,1,26670344,0.683628,0.848942,0.0874497
1,10000000,AceHash;1;1;1;0,3;0.85,2,26670344,0.683981,0.85301,0.0873447
1,10000000,AceHash;1;1;1;0,3;0.85,3,26670344,0.683407,0.847058,0.0875164
1,10000000,AceHash;1;1;1;0,3;0.85,4,26670344,0.684294,0.848754,0.0874817
1,10000000,AceHash;1;1;1;0,3;0.9,0,26761432,0.714735,0.849765,0.0876988
1,10000000,AceHash;1;1;1;0,3;0.9,1,26761432,0.71609,0.849004,0.0876814
1,10000000,AceHash;1;1;1;0,3;0.9,2,26761432,0.716106,0.848267,0.0876847
1,10000000,AceHash;1;1;1;0,3;0.9,3,26761432,0.716863,0.851245,0.0876126
1,10000000,AceHash;1;1;1;0,3;0.9,4,26761432,0.716365,0.849662,0.0875955
1,10000000,AceHash;1;1;1;0,3;0.95,0,27750280,0.770713,0.861153,0.0883023
1,10000000,AceHash;1;1;1;0,3;0.95,1,27750280,0.776531,0.861498,0.0883872
1,10000000,AceHash;1;1;1;0,3;0.95,2,27750280,0.772516,0.859978,0.088506
1,10000000,AceHash;1;1;1;0,3;0.95,3,27750280,0.771908,0.861969,0.0883866
1,10000000,AceHash;1;1;1;0,3;0.95,4,27750280,0.772433,0.860668,0.0881579
1,10000000,AceHash;1;1;1;0,3;1,0,32523264,0.872369,0.913243,0.0917657
1,10000000,AceHash;1;1;1;0,3;1,1,32523264,0.87352,0.921723,0.092107
1,10000000,AceHash;1;1;1;0,3;1,2,32523264,0.87424,0.91303,0.0917152
1,10000000,AceHash;1;1;1;0,3;1,3,32523264,0.873739,0.914159,0.0917843
