Key type,Value type,Key cardinality,Algorithm,Parameters,Trial,Number of bits,Build time (s),Serial aggregate time (s)
m,m,200000,BBHash;0,2.000000,1,13546112,0.0268445,5.90818
m,m,200000,BBHash;0,2.000000,2,13546112,0.0269607,5.90568
m,m,200000,BBHash;0,2.000000,3,13546112,0.0268206,5.90953
m,m,200000,BBHash;0,2.000000,4,13546112,0.0273489,5.93653
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,0,13799616,0.0453907,2.38637
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,1,13799488,0.0457245,2.3873
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,2,13799616,0.045542,2.38269
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,3,13799488,0.045112,2.3869
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,4,13799424,0.0452241,2.38726
m,m,200000,DuckDB,,0,0,0,3.67215
m,m,200000,DuckDB,,1,0,0,3.70995
m,m,200000,DuckDB,,2,0,0,3.70415
m,m,200000,DuckDB,,3,0,0,3.66806
m,m,200000,DuckDB,,4,0,0,3.62934
m,h,200000,AceHash;1;1;1;0,2.5;1,0,2295296,0.011802,0.611711
m,h,200000,AceHash;1;1;1;0,2.5;1,1,2295296,0.0108845,0.610374
m,h,200000,AceHash;1;1;1;0,2.5;1,2,2295296,0.01086,0.610872
m,h,200000,AceHash;1;1;1;0,2.5;1,3,2295296,0.0108378,0.607921
m,h,200000,AceHash;1;1;1;0,2.5;1,4,2295296,0.0108494,0.606708
m,h,200000,std::unordered_map,,0,0,0.0134853,4.2474
m,h,200000,std::unordered_map,,1,0,0.0134878,4.26702
m,h,200000,std::unordered_map,,2,0,0.0134696,4.22622
m,h,200000,std::unordered_map,,3,0,0.0134807,4.27185
m,h,200000,std::unordered_map,,4,0,0.0134624,4.20865
m,h,200000,absl::flat_hash_map,,0,0,0.00418945,1.03853
m,h,200000,absl::flat_hash_map,,1,0,0.00278556,1.04751
m,h,200000,absl::flat_hash_map,,2,0,0.00278289,1.04019
m,h,200000,absl::flat_hash_map,,3,0,0.0028003,1.04064
m,h,200000,absl::flat_hash_map,,4,0,0.00278066,1.04135
m,h,200000,BBHash;0,2.000000,0,2346112,0.0275862,5.64067
m,h,200000,BBHash;0,2.000000,1,2346112,0.0273093,5.64145
m,h,200000,BBHash;0,2.000000,2,2346112,0.0271656,5.64945
m,h,200000,BBHash;0,2.000000,3,2346112,0.0273579,5.64989
m,h,200000,BBHash;0,2.000000,4,2346112,0.0273377,5.64185
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,0,2370888,0.0450418,2.03396
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,1,2370888,0.0456,2.04616
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,2,2370952,0.0458186,2.03701
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,3,2370888,0.0448016,2.03775
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,4,2371016,0.0445671,2.03692
m,h,200000,DuckDB,,0,0,0,3.21553
m,h,200000,DuckDB,,1,0,0,3.18444
m,h,200000,DuckDB,,2,0,0,3.20896
m,h,200000,DuckDB,,3,0,0,3.24377
m,h,200000,DuckDB,,4,0,0,3.2601
m,m,500000,AceHash;1;1;1;0,2.5;1,0,33734824,0.034541,1.02177
m,m,500000,AceHash;1;1;1;0,2.5;1,1,33734824,0.0297846,1.02724
m,m,500000,AceHash;1;1;1;0,2.5;1,2,33734824,0.0297883,1.02116
m,m,500000,AceHash;1;1;1;0,2.5;1,3,33734824,0.0297441,1.02352
m,m,500000,AceHash;1;1;1;0,2.5;1,4,33734824,0.0297911,1.02486
m,m,500000,std::unordered_map,,0,0,0.0337993,10.4675
m,m,500000,std::unordered_map,,1,0,0.0349129,10.4951
m,m,500000,std::unordered_map,,2,0,0.0350635,10.4941
m,m,500000,std::unordered_map,,3,0,0.0351059,10.4851
m,m,500000,std::unordered_map,,4,0,0.0350676,10.4604
m,m,500000,absl::flat_hash_map,,0,0,0.0249455,2.32068
m,m,500000,absl::flat_hash_map,,1,0,0.0229724,2.32539
m,m,500000,absl::flat_hash_map,,2,0,0.0131543,2.32638
m,m,500000,absl::flat_hash_map,,3,0,0.0130917,2.32556
m,m,500000,absl::flat_hash_map,,4,0,0.0130643,2.3382
m,m,500000,BBHash;0,2.000000,0,33858816,0.0684765,6.11485
m,m,500000,BBHash;0,2.000000,1,33858816,0.0664096,6.10724
m,m,500000,BBHash;0,2.000000,2,33858816,0.0663797,6.11753
m,m,500000,BBHash;0,2.000000,3,33858816,0.0666152,6.11488
m,m,500000,BBHash;0,2.000000,4,33858816,0.0668318,6.12769
m,m,500000,PTHash;dictionary-dictionary;1,8;0.98,0,34517360,0.121452,2.5149
m,m,500000,PTHash;dictionary-dictionary;1,8;0.98,1,34517232,0.121923,2.50907
m,m,500000,PTHash;dictionary-dictionary;1,8;0.98,2,34517296,0.120962,2.50501
m,m,500000,PTHash;dictionary-dictionary;1,8;0.98,3,34516976,0.120775,2.50622
m,m,500000,PTHash;dictionary-dictionary;1,8;0.98,4,34517296,0.121078,2.50646
m,m,500000,DuckDB,,0,0,0,5.24625
m,m,500000,DuckDB,,1,0,0,5.23129
m,m,500000,DuckDB,,2,0,0,5.25696
m,m,500000,DuckDB,,3,0,0,5.2621
m,m,500000,DuckDB,,4,0,0,5.24177
m,h,500000,AceHash;1;1;1;0,2.5;1,0,5739864,0.0316323,0.702083
m,h,500000,AceHash;1;1;1;0,2.5;1,1,5739864,0.0285505,0.701825
m,h,500000,AceHash;1;1;1;0,2.5;1,2,5739864,0.0285632,0.703997
m,h,500000,AceHash;1;1;1;0,2.5;1,3,5739864,0.0286767,0.70273
m,h,500000,AceHash;1;1;1;0,2.5;1,4,5739864,0.0285582,0.703006
m,h,500000,std::unordered_map,,0,0,0.035565,10.2073
m,h,500000,std::unordered_map,,1,0,0.0355626,10.2514
m,h,500000,std::unordered_map,,2,0,0.0352466,10.218
m,h,500000,std::unordered_map,,3,0,0.0357357,10.2119
m,h,500000,std::unordered_map,,4,0,0.035539,10.1939
m,h,500000,absl::flat_hash_map,,0,0,0.0232007,2.17655
m,h,500000,absl::flat_hash_map,,1,0,0.0127377,2.16599
m,h,500000,absl::flat_hash_map,,2,0,0.0127547,2.16463
m,h,500000,absl::flat_hash_map,,3,0,0.0126973,2.16711
m,h,500000,absl::flat_hash_map,,4,0,0.0127127,2.1686
m,h,500000,BBHash;0,2.000000,0,5858816,0.0658406,5.86176
m,h,500000,BBHash;0,2.000000,1,5858816,0.0658282,5.86984
m,h,500000,BBHash;0,2.000000,2,5858816,0.0668981,5.86796
m,h,500000,BBHash;0,2.000000,3,5858816,0.0658815,5.86175
m,h,500000,BBHash;0,2.000000,4,5858816,0.0666552,5.88528
m,h,500000,PTHash;dictionary-dictionary;1,8;0.98,0,5945616,0.120368,2.14938
m,h,500000,PTHash;dictionary-dictionary;1,8;0.98,1,5945808,0.120227,2.15318
m,h,500000,PTHash;dictionary-dictionary;1,8;0.98,2,5945552,0.120301,2.15758
m,h,500000,PTHash;dictionary-dictionary;1,8;0.98,3,5945616,0.119677,2.16213
m,h,500000,PTHash;dictionary-dictionary;1,8;0.98,4,5945744,0.119203,2.1446
m,h,500000,DuckDB,,0,0,0,5.05289
m,h,500000,DuckDB,,1,0,0,5.03673
m,h,500000,DuckDB,,2,0,0,5.0341
m,h,500000,DuckDB,,3,0,0,5.02367
m,h,500000,DuckDB,,4,0,0,5.02955
m,m,1000000,AceHash;1;1;1;0,2.5;1,0,67473096,0.0727025,1.1461
m,m,1000000,AceHash;1;1;1;0,2.5;1,1,67473096,0.065958,1.14617
m,m,1000000,AceHash;1;1;1;0,2.5;1,2,67473096,0.0661494,1.14565
m,m,1000000,AceHash;1;1;1;0,2.5;1,3,67473096,0.0660991,1.14526
m,m,1000000,AceHash;1;1;1;0,2.5;1,4,67473096,0.0659574,1.1472
m,m,1000000,std::unordered_map,,0,0,0.078147,17.2175
m,m,1000000,std::unordered_map,,1,0,0.0785207,17.2041
m,m,1000000,std::unordered_map,,2,0,0.0780895,17.2251
m,m,1000000,std::unordered_map,,3,0,0.0781863,17.2156
m,m,1000000,std::unordered_map,,4,0,0.0782972,17.2596
m,m,1000000,absl::flat_hash_map,,0,0,0.0612097,4.6571
m,m,1000000,absl::flat_hash_map,,1,0,0.0605685,4.61497
m,m,1000000,absl::flat_hash_map,,2,0,0.060598,4.63718
m,m,1000000,absl::flat_hash_map,,3,0,0.0604617,4.59569
m,m,1000000,absl::flat_hash_map,,4,0,0.0604247,4.62342
m,m,1000000,BBHash;0,2.000000,0,67713664,0.136809,6.4756
m,m,1000000,BBHash;0,2.000000,1,67713664,0.134531,6.45661
m,m,1000000,BBHash;0,2.000000,2,67713664,0.134833,6.45476
m,m,1000000,BBHash;0,2.000000,3,67713664,0.134947,6.45866
m,m,1000000,BBHash;0,2.000000,4,67713664,0.134531,6.45921
m,m,1000000,PTHash;dictionary-dictionary;1,8;0.98,0,68971040,0.255884,2.72672
m,m,1000000,PTHash;dictionary-dictionary;1,8;0.98,1,68971104,0.258607,2.72984
m,m,1000000,PTHash;dictionary-dictionary;1,8;0.98,2,68971040,0.257581,2.72295
m,m,1000000,PTHash;dictionary-dictionary;1,8;0.98,3,68971040,0.256741,2.72521
m,m,1000000,PTHash;dictionary-dictionary;1,8;0.98,4,68970976,0.257062,2.73065
m,m,1000000,DuckDB,,0,0,0,6.02691
m,m,1000000,DuckDB,,1,0,0,6.04421
m,m,1000000,DuckDB,,2,0,0,6.03539
m,m,1000000,DuckDB,,3,0,0,6.02868
m,m,1000000,DuckDB,,4,0,0,6.03708
m,h,1000000,AceHash;1;1;1;0,2.5;1,0,11469176,0.0631467,0.938524
m,h,1000000,AceHash;1;1;1;0,2.5;1,1,11469176,0.0626729,0.934307
m,h,1000000,AceHash;1;1;1;0,2.5;1,2,11469176,0.0626844,0.939819
m,h,1000000,AceHash;1;1;1;0,2.5;1,3,11469176,0.0627881,0.942111
m,h,1000000,AceHash;1;1;1;0,2.5;1,4,11469176,0.0626682,0.938926
m,h,1000000,std::unordered_map,,0,0,0.0795109,16.9216
m,h,1000000,std::unordered_map,,1,0,0.0782363,16.911
m,h,1000000,std::unordered_map,,2,0,0.0781258,16.9373
m,h,1000000,std::unordered_map,,3,0,0.0780851,16.9264
m,h,1000000,std::unordered_map,,4,0,0.0784997,16.9141
m,h,1000000,absl::flat_hash_map,,0,0,0.0609466,4.59438
m,h,1000000,absl::flat_hash_map,,1,0,0.0600157,4.59415
m,h,1000000,absl::flat_hash_map,,2,0,0.0600644,4.58933
m,h,1000000,absl::flat_hash_map,,3,0,0.0600616,4.58899
m,h,1000000,absl::flat_hash_map,,4,0,0.0599949,4.58782
m,h,1000000,BBHash;0,2.000000,0,11713664,0.13425,6.27025
m,h,1000000,BBHash;0,2.000000,1,11713664,0.132693,6.27825
m,h,1000000,BBHash;0,2.000000,2,11713664,0.134643,6.26434
m,h,1000000,BBHash;0,2.000000,3,11713664,0.132531,6.26158
m,h,1000000,BBHash;0,2.000000,4,11713664,0.132577,6.26305
m,h,1000000,PTHash;dictionary-dictionary;1,8;0.98,0,11828000,0.254926,2.37129
m,h,1000000,PTHash;dictionary-dictionary;1,8;0.98,1,11828128,0.254306,2.36953
m,h,1000000,PTHash;dictionary-dictionary;1,8;0.98,2,11828128,0.254382,2.37371
m,h,1000000,PTHash;dictionary-dictionary;1,8;0.98,3,11828192,0.253398,2.37669
m,h,1000000,PTHash;dictionary-dictionary;1,8;0.98,4,11828256,0.255187,2.37525
m,h,1000000,DuckDB,,0,0,0,5.7412
m,h,1000000,DuckDB,,1,0,0,5.72268
m,h,1000000,DuckDB,,2,0,0,5.7291
m,h,1000000,DuckDB,,3,0,0,5.72824
m,h,1000000,DuckDB,,4,0,0,5.71789
m,m,2000000,AceHash;1;1;1;0,2.5;1,0,134951448,0.163091,1.60756
m,m,2000000,AceHash;1;1;1;0,2.5;1,1,134951448,0.159122,1.60808
